device_id,now-5h,now-4h,now-3h,now-2h,now-1h,now,now+1h,now+2h,now+3h,now+4h,now+5h
74DA38E2B668,,,,,63.787365,53.076923076923,66.539795,,,,
74DA38E2B6AC,,,,,20.786667,26.538461538462,15.735545,,,,
74DA38E2B6B4,,,,,34.04921,32.384615384615,30.039558,,,,
74DA38E2B6C6,,,,,34.419716,,36.728333,,,,
74DA38E2B6C8,,,,,20.37272,,18.84373,,,,
74DA38E2B6CE,,,,,44.594006,26.583333333333,32.464363,,,,
74DA38E2B6D6,,,,,28.468723,43.538461538462,28.636911,,,,
74DA38E2B6D8,,,,,5.8829384,,6.701001,,,,
74DA38E2B6DC,,,,,41.819283,45.769230769231,43.684612,,,,
74DA38E2B6EA,,,,,30.770958,46.769230769231,30.878504,,,,
74DA38E2B6EC,,,,,31.836405,,33.488388,,,,
74DA38E2B6EE,,,,,35.14485,,34.580994,,,,
74DA38E2B6F0,,,,,21.735792,,19.91824,,,,
74DA38E2B6F8,,,,,31.047789,,33.328857,,,,
74DA38E2B6FA,,,,,46.257004,50.333333333333,47.447308,,,,
74DA38E2B704,,,,,49.773685,54.538461538462,50.922245,,,,
74DA38E2B706,,,,,35.676476,26.307692307692,28.943695,,,,
74DA38E2B708,,,,,41.798317,29.538461538462,33.087543,,,,
74DA38E2B70E,,,,,30.916313,,30.149261,,,,
74DA38E2B712,,,,,37.256176,27.615384615385,31.552578,,,,
74DA38E2B714,,,,,30.346668,24.083333333333,21.567684,,,,
74DA38E2B718,,,,,34.687668,43.692307692308,35.081444,,,,
74DA38E2B76C,,,,,29.518366,,30.753672,,,,
74DA38E2B778,,,,,28.260923,41.636363636364,28.668213,,,,
74DA38E2B77C,,,,,39.768032,46.307692307692,41.4986,,,,
74DA38E2B77E,,,,,25.248457,42.363636363636,31.69792,,,,
74DA38E2B780,,,,,22.10862,,23.895277,,,,
74DA38E2B788,,,,,28.770378,,27.323391,,,,
74DA38E2B796,,,,,28.651287,,28.860466,,,,
74DA38E2B822,,,,,33.428074,,32.61387,,,,
74DA38E2B828,,,,,20.72422,11.0,20.786987,,,,
74DA38E2B82C,,,,,43.063324,26.692307692308,41.231483,,,,
74DA38E2B830,,,,,43.501743,30.545454545455,34.94381,,,,
74DA38E2B840,,,,,43.131763,45.833333333333,44.527195,,,,
74DA38E2B84C,,,,,39.40416,34.75,33.253475,,,,
74DA38E2B856,,,,,37.020226,40.692307692308,37.302197,,,,
74DA38E2B85E,,,,,34.952805,47.230769230769,34.97665,,,,
74DA38E2B8BC,,,,,11.018208,,10.249343,,,,
74DA38E2B8C2,,,,,6.926445,,6.260237,,,,
74DA38E2B9B4,,,,,10.686139,,9.986347,,,,
74DA38E69AC2,,,,,46.576134,31.923076923077,38.355053,,,,
74DA38E69AC6,,,,,19.90308,28.769230769231,18.539228,,,,
74DA38E69AE2,,,,,17.758318,17.25,15.651357,,,,
74DA38E69AF6,,,,,3.277871,4.0,3.172632,,,,
74DA38E69B1E,,,,,18.186745,,15.973511,,,,
74DA38E69B22,,,,,65.07318,60.076923076923,67.76262,,,,
74DA38E69B26,,,,,21.994349,,19.54784,,,,
74DA38E69B46,,,,,18.80123,,13.565696,,,,
74DA38E69B4E,,,,,29.348242,32.25,27.244627,,,,
74DA38E69B5A,,,,,38.807083,25.384615384615,30.395739,,,,
74DA38E69B5E,,,,,44.344147,53.916666666667,48.111015,,,,
74DA38E69B6A,,,,,33.992584,22.636363636364,26.234407,,,,
74DA38E69B8C,,,,,37.24668,42.416666666667,38.18833,,,,
74DA38E69B90,,,,,16.128012,,13.954316,,,,
74DA38E69B98,,,,,37.00772,47.769230769231,37.753735,,,,
74DA38E69BC0,,,,,14.699425,25.153846153846,15.415159,,,,
74DA38E69BD6,,,,,25.7215,,21.552755,,,,
